LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,MedianHP,MedianIncome,UnRate,PTAL_average,Pct_badhealth,Pct_qual_above_l4,Pct_elderly,Pct_nonwhite,kMedianHP
E01000001,City of London 001A,E02000001,City of London 001,E09000001,City of London,505000,65520,0.035,8.000,0.020,0.776,0.183,0.155,505.000
E01000002,City of London 001B,E02000001,City of London 001,E09000001,City of London,525000,66300,0.017,8.000,0.027,0.792,0.187,0.113,525.000
E01000003,City of London 001C,E02000001,City of London 001,E09000001,City of London,350000,54140,0.047,7.306,0.062,0.568,0.189,0.216,350.000
E01000005,City of London 001E,E02000001,City of London 001,E09000001,City of London,300000,46740,0.087,8.000,0.073,0.345,0.129,0.486,300.000
E01000006,Barking and Dagenham 016A,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,240500,38200,0.095,6.361,0.042,0.329,0.078,0.673,240.500
E01000007,Barking and Dagenham 015A,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,212000,32940,0.119,6.788,0.050,0.323,0.042,0.684,212.000
E01000008,Barking and Dagenham 015B,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,140000,31430,0.180,3.134,0.037,0.242,0.026,0.686,140.000
E01000009,Barking and Dagenham 016B,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,226500,35230,0.100,7.146,0.068,0.350,0.102,0.762,226.500
E01000010,Barking and Dagenham 015C,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,151475,35190,0.097,6.867,0.031,0.449,0.030,0.714,151.475
E01000011,Barking and Dagenham 016C,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,214000,34830,0.102,7.000,0.050,0.296,0.055,0.788,214.000
E01000012,Barking and Dagenham 015D,E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,170000,33780,0.107,4.133,0.034,0.331,0.028,0.719,170.000
E01000013,Barking and Dagenham 013A,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,161000,33190,0.101,3.949,0.092,0.169,0.130,0.314,161.000
E01000014,Barking and Dagenham 013B,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,160000,32850,0.114,3.308,0.063,0.143,0.114,0.250,160.000
E01000015,Barking and Dagenham 009A,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,150000,32520,0.117,2.898,0.053,0.178,0.067,0.335,150.000
E01000016,Barking and Dagenham 009B,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,159995,33720,0.091,2.448,0.064,0.145,0.115,0.295,159.995
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,167500,33120,0.088,3.253,0.072,0.197,0.102,0.306,167.500
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,162000,33750,0.104,3.098,0.063,0.169,0.108,0.284,162.000
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,170000,33990,0.134,2.588,0.068,0.201,0.097,0.443,170.000
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,155000,34070,0.114,2.964,0.086,0.206,0.121,0.350,155.000
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,160000,31980,0.132,2.322,0.075,0.224,0.080,0.459,160.000
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,165000,34440,0.102,2.900,0.065,0.184,0.090,0.365,165.000
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,179995,34270,0.111,2.926,0.063,0.287,0.100,0.446,179.995
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,169500,33810,0.092,3.000,0.066,0.179,0.089,0.441,169.500
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,160500,33790,0.107,2.943,0.076,0.161,0.103,0.308,160.500
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,182500,32750,0.113,2.308,0.063,0.143,0.136,0.283,182.500
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,150000,31780,0.142,1.643,0.090,0.205,0.142,0.421,150.000
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,231000,35540,0.074,1.792,0.075,0.207,0.278,0.361,231.000
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,176500,31830,0.141,2.364,0.067,0.174,0.107,0.343,176.500
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,223750,38150,0.081,2.718,0.049,0.249,0.143,0.502,223.750
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,216000,36230,0.100,2.686,0.066,0.192,0.142,0.377,216.000
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,172000,33730,0.132,1.759,0.065,0.142,0.114,0.240,172.000
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,172500,36300,0.087,1.954,0.094,0.148,0.192,0.235,172.500
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,180000,37170,0.092,3.071,0.068,0.209,0.140,0.329,180.000
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,202500,38460,0.063,3.598,0.033,0.228,0.112,0.421,202.500
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,205000,40510,0.128,1.366,0.045,0.185,0.129,0.166,205.000
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,205000,38390,0.069,3.114,0.056,0.154,0.187,0.165,205.000
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,192500,38810,0.073,1.487,0.053,0.221,0.154,0.198,192.500
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,173000,33570,0.107,3.170,0.078,0.204,0.112,0.426,173.000
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,160000,33500,0.111,2.461,0.058,0.171,0.087,0.331,160.000
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,153500,32270,0.149,3.120,0.070,0.203,0.082,0.457,153.500
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,225000,34390,0.111,2.713,0.074,0.192,0.131,0.474,225.000
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,183000,35370,0.092,2.821,0.060,0.240,0.090,0.565,183.000
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,139500,34060,0.103,2.606,0.057,0.219,0.084,0.409,139.500
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,158000,33080,0.107,2.251,0.057,0.166,0.091,0.264,158.000
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,129000,28270,0.187,2.601,0.063,0.195,0.040,0.629,129.000
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,135000,29960,0.171,2.709,0.052,0.207,0.066,0.625,135.000
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,188500,32130,0.118,4.582,0.075,0.263,0.115,0.615,188.500
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,137000,28400,0.179,4.536,0.057,0.229,0.025,0.644,137.000
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,149500,32570,0.087,2.958,0.066,0.246,0.099,0.535,149.500
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,112000,33100,0.114,1.890,0.084,0.206,0.107,0.395,112.000
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,159500,34260,0.103,2.703,0.066,0.166,0.116,0.288,159.500
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,152000,34210,0.110,2.824,0.055,0.184,0.090,0.303,152.000
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,155000,33890,0.117,1.059,0.059,0.165,0.101,0.324,155.000
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,152500,33940,0.094,3.361,0.059,0.212,0.092,0.351,152.500
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,168000,34470,0.089,2.821,0.058,0.214,0.082,0.401,168.000
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,150998,33460,0.100,2.469,0.066,0.164,0.116,0.265,150.998
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,158000,32960,0.120,2.377,0.056,0.187,0.135,0.341,158.000
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,116500,29130,0.186,3.622,0.053,0.172,0.037,0.355,116.500
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,163000,33600,0.123,2.199,0.065,0.193,0.139,0.356,163.000
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,163500,32930,0.116,3.003,0.060,0.147,0.117,0.263,163.500
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,142500,32390,0.099,2.074,0.062,0.178,0.158,0.326,142.500
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,158750,31210,0.114,2.760,0.106,0.172,0.173,0.287,158.750
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,259748,39010,0.074,1.957,0.052,0.220,0.106,0.523,259.748
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,250000,40040,0.087,2.533,0.046,0.236,0.116,0.536,250.000
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,260000,41560,0.060,4.724,0.040,0.265,0.104,0.654,260.000
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,298000,42310,0.043,3.080,0.039,0.237,0.102,0.541,298.000
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,250000,41110,0.080,3.528,0.044,0.257,0.142,0.580,250.000
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,249995,39900,0.080,2.868,0.050,0.282,0.123,0.615,249.995
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,172750,31020,0.119,1.924,0.067,0.163,0.110,0.336,172.750
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,155000,33160,0.102,2.000,0.078,0.171,0.116,0.292,155.000
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,152000,33140,0.094,2.399,0.065,0.167,0.103,0.280,152.000
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,181500,33810,0.092,3.364,0.077,0.154,0.124,0.270,181.500
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,151000,32160,0.110,2.425,0.059,0.161,0.090,0.357,151.000
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,167250,32110,0.118,3.000,0.075,0.156,0.104,0.329,167.250
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,155748,32430,0.120,2.889,0.063,0.156,0.099,0.309,155.748
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,146000,32480,0.106,2.787,0.087,0.180,0.139,0.309,146.000
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,158750,32220,0.133,2.772,0.083,0.158,0.112,0.308,158.750
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,169000,33260,0.088,2.417,0.066,0.152,0.111,0.317,169.000
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,155000,33340,0.105,2.365,0.059,0.152,0.096,0.290,155.000
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,169000,32870,0.106,2.956,0.072,0.162,0.115,0.322,169.000
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,151000,33520,0.098,4.073,0.061,0.174,0.097,0.296,151.000
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,147750,31730,0.140,4.026,0.061,0.160,0.101,0.312,147.750
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,160000,34260,0.104,3.772,0.055,0.189,0.101,0.338,160.000
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,160000,33830,0.099,2.616,0.069,0.174,0.095,0.344,160.000
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,159000,35690,0.089,2.325,0.052,0.219,0.134,0.470,159.000
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,150000,34930,0.090,1.898,0.041,0.211,0.086,0.405,150.000
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,150000,35550,0.090,2.602,0.045,0.230,0.088,0.489,150.000
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,171250,30860,0.133,2.081,0.063,0.176,0.092,0.502,171.250
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,175000,34850,0.135,2.429,0.057,0.271,0.088,0.585,175.000
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,178500,31020,0.138,2.145,0.083,0.190,0.070,0.489,178.500
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,160000,35620,0.099,2.124,0.034,0.374,0.019,0.658,160.000
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,159750,35960,0.101,1.923,0.044,0.268,0.072,0.489,159.750
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,165000,31070,0.154,1.939,0.050,0.198,0.052,0.562,165.000
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,196500,33780,0.092,4.076,0.094,0.180,0.181,0.314,196.500
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,207000,33300,0.136,3.560,0.070,0.173,0.093,0.391,207.000
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,205000,34610,0.110,3.409,0.065,0.182,0.109,0.297,205.000
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,160500,33830,0.127,2.357,0.064,0.164,0.108,0.298,160.500
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,159500,33320,0.087,3.157,0.092,0.183,0.108,0.294,159.500
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,160000,33890,0.113,2.686,0.073,0.186,0.128,0.292,160.000
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,167500,32220,0.128,1.956,0.061,0.206,0.076,0.406,167.500
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,134925,31660,0.157,3.200,0.059,0.145,0.079,0.364,134.925
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,154500,30900,0.153,3.535,0.062,0.173,0.125,0.327,154.500
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,105000,31400,0.117,2.001,0.070,0.196,0.113,0.381,105.000
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,175000,35570,0.093,1.912,0.059,0.155,0.169,0.287,175.000
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,190000,35200,0.094,3.426,0.051,0.196,0.117,0.323,190.000
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,167500,36940,0.100,2.359,0.046,0.190,0.104,0.394,167.500
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,212000,40760,0.073,2.702,0.050,0.262,0.138,0.446,212.000
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,174000,36090,0.103,2.455,0.051,0.201,0.133,0.390,174.000
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,185000,37290,0.090,3.343,0.049,0.247,0.110,0.501,185.000
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,204500,38690,0.096,4.093,0.046,0.261,0.103,0.507,204.500
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,180000,36990,0.065,2.526,0.052,0.190,0.114,0.411,180.000
E01000115,Barnet 009A,E02000032,Barnet 009,E09000003,Barnet,457000,43890,0.043,2.732,0.034,0.372,0.179,0.300,457.000
E01000116,Barnet 009B,E02000032,Barnet 009,E09000003,Barnet,340000,40180,0.041,2.712,0.039,0.330,0.144,0.258,340.000
E01000117,Barnet 010A,E02000033,Barnet 010,E09000003,Barnet,319000,37810,0.071,2.655,0.051,0.333,0.191,0.210,319.000
E01000118,Barnet 010B,E02000033,Barnet 010,E09000003,Barnet,355000,38340,0.075,2.849,0.037,0.337,0.129,0.280,355.000
E01000119,Barnet 009C,E02000032,Barnet 009,E09000003,Barnet,434500,41920,0.058,3.335,0.051,0.399,0.165,0.366,434.500
E01000120,Barnet 009D,E02000032,Barnet 009,E09000003,Barnet,505000,42420,0.043,2.975,0.045,0.384,0.170,0.334,505.000
E01000121,Barnet 010C,E02000033,Barnet 010,E09000003,Barnet,302000,32850,0.118,2.143,0.086,0.219,0.135,0.353,302.000
E01000122,Barnet 009E,E02000032,Barnet 009,E09000003,Barnet,365500,41310,0.047,1.943,0.036,0.400,0.135,0.361,365.500
E01000123,Barnet 010D,E02000033,Barnet 010,E09000003,Barnet,277500,37200,0.075,2.741,0.043,0.339,0.096,0.315,277.500
E01000124,Barnet 010E,E02000033,Barnet 010,E09000003,Barnet,265000,33870,0.084,4.672,0.049,0.321,0.097,0.412,265.000
E01000125,Barnet 024A,E02000047,Barnet 024,E09000003,Barnet,221000,29120,0.092,3.562,0.067,0.258,0.099,0.605,221.000
E01000126,Barnet 026A,E02000049,Barnet 026,E09000003,Barnet,219000,28270,0.116,2.417,0.052,0.284,0.056,0.613,219.000
E01000127,Barnet 024B,E02000047,Barnet 024,E09000003,Barnet,232500,29050,0.098,4.415,0.060,0.248,0.084,0.500,232.500
E01000128,Barnet 024C,E02000047,Barnet 024,E09000003,Barnet,245000,30460,0.078,4.117,0.049,0.229,0.098,0.510,245.000
E01000129,Barnet 024D,E02000047,Barnet 024,E09000003,Barnet,228500,27720,0.090,5.009,0.092,0.193,0.128,0.530,228.500
E01000130,Barnet 021A,E02000044,Barnet 021,E09000003,Barnet,232000,31010,0.099,2.877,0.056,0.259,0.065,0.513,232.000
E01000131,Barnet 024E,E02000047,Barnet 024,E09000003,Barnet,248750,31990,0.059,3.062,0.055,0.296,0.119,0.543,248.750
E01000132,Barnet 021B,E02000044,Barnet 021,E09000003,Barnet,230000,30800,0.089,3.602,0.045,0.202,0.077,0.482,230.000
E01000133,Barnet 021C,E02000044,Barnet 021,E09000003,Barnet,236250,29660,0.100,3.645,0.081,0.209,0.106,0.469,236.250
E01000134,Barnet 024F,E02000047,Barnet 024,E09000003,Barnet,230500,29990,0.109,3.459,0.049,0.271,0.092,0.503,230.500
E01000135,Barnet 038A,E02000061,Barnet 038,E09000003,Barnet,440000,44720,0.061,4.245,0.053,0.498,0.188,0.366,440.000
E01000136,Barnet 038B,E02000061,Barnet 038,E09000003,Barnet,1265000,59440,0.027,4.447,0.039,0.564,0.210,0.251,1265.000
E01000137,Barnet 041A,E02000064,Barnet 041,E09000003,Barnet,335000,32720,0.085,3.610,0.086,0.331,0.152,0.438,335.000
E01000138,Barnet 040A,E02000063,Barnet 040,E09000003,Barnet,430000,36840,0.066,3.178,0.047,0.341,0.126,0.418,430.000
E01000139,Barnet 041B,E02000064,Barnet 041,E09000003,Barnet,328250,39690,0.075,3.862,0.036,0.468,0.132,0.332,328.250
E01000140,Barnet 041C,E02000064,Barnet 041,E09000003,Barnet,413500,36780,0.076,4.140,0.050,0.475,0.118,0.347,413.500
E01000141,Barnet 039A,E02000062,Barnet 039,E09000003,Barnet,235000,32420,0.081,5.562,0.044,0.369,0.056,0.465,235.000
E01000142,Barnet 040B,E02000063,Barnet 040,E09000003,Barnet,213750,35040,0.073,4.066,0.061,0.402,0.099,0.439,213.750
E01000143,Barnet 041D,E02000064,Barnet 041,E09000003,Barnet,243750,33110,0.090,4.508,0.077,0.300,0.097,0.444,243.750
E01000144,Barnet 038C,E02000061,Barnet 038,E09000003,Barnet,835000,43950,0.055,6.128,0.038,0.555,0.100,0.402,835.000
E01000145,Barnet 037A,E02000060,Barnet 037,E09000003,Barnet,580000,42520,0.069,3.690,0.029,0.434,0.140,0.317,580.000
E01000146,Barnet 038D,E02000061,Barnet 038,E09000003,Barnet,450000,41460,0.075,6.651,0.035,0.511,0.114,0.393,450.000
E01000147,Barnet 030A,E02000053,Barnet 030,E09000003,Barnet,322000,33560,0.059,2.469,0.037,0.304,0.142,0.626,322.000
E01000148,Barnet 030B,E02000053,Barnet 030,E09000003,Barnet,213250,29610,0.090,3.607,0.062,0.299,0.097,0.604,213.250
E01000150,Barnet 036A,E02000059,Barnet 036,E09000003,Barnet,224000,32180,0.071,1.972,0.050,0.329,0.126,0.584,224.000
E01000151,Barnet 026B,E02000049,Barnet 026,E09000003,Barnet,200000,27600,0.138,2.190,0.052,0.254,0.057,0.686,200.000
E01000152,Barnet 026C,E02000049,Barnet 026,E09000003,Barnet,174500,27520,0.122,1.375,0.036,0.229,0.046,0.633,174.500
E01000153,Barnet 026D,E02000049,Barnet 026,E09000003,Barnet,228750,28650,0.105,1.300,0.073,0.227,0.106,0.539,228.750
E01000154,Barnet 026E,E02000049,Barnet 026,E09000003,Barnet,215000,27200,0.093,2.874,0.079,0.257,0.094,0.596,215.000
E01000155,Barnet 030D,E02000053,Barnet 030,E09000003,Barnet,209000,31300,0.066,3.617,0.029,0.378,0.045,0.552,209.000
E01000156,Barnet 022A,E02000045,Barnet 022,E09000003,Barnet,307500,39510,0.050,3.104,0.039,0.506,0.108,0.244,307.500
E01000157,Barnet 022B,E02000045,Barnet 022,E09000003,Barnet,207000,36450,0.071,2.434,0.047,0.453,0.086,0.248,207.000
E01000158,Barnet 015A,E02000038,Barnet 015,E09000003,Barnet,258250,37580,0.071,2.797,0.044,0.390,0.101,0.350,258.250
E01000159,Barnet 015B,E02000038,Barnet 015,E09000003,Barnet,495000,39500,0.079,2.439,0.050,0.383,0.141,0.276,495.000
E01000160,Barnet 015C,E02000038,Barnet 015,E09000003,Barnet,310000,41330,0.044,2.924,0.026,0.507,0.071,0.383,310.000
E01000161,Barnet 015D,E02000038,Barnet 015,E09000003,Barnet,250000,37190,0.049,3.441,0.060,0.397,0.135,0.383,250.000
E01000162,Barnet 015E,E02000038,Barnet 015,E09000003,Barnet,378000,37290,0.078,3.642,0.079,0.317,0.155,0.378,378.000
E01000163,Barnet 022C,E02000045,Barnet 022,E09000003,Barnet,171000,32340,0.115,2.047,0.069,0.310,0.073,0.368,171.000
E01000164,Barnet 022D,E02000045,Barnet 022,E09000003,Barnet,261500,33790,0.085,2.913,0.066,0.340,0.082,0.386,261.500
E01000165,Barnet 022E,E02000045,Barnet 022,E09000003,Barnet,369000,37990,0.061,3.147,0.035,0.411,0.082,0.468,369.000
E01000166,Barnet 003A,E02000026,Barnet 003,E09000003,Barnet,326000,39390,0.062,2.225,0.043,0.368,0.159,0.260,326.000
E01000167,Barnet 002A,E02000025,Barnet 002,E09000003,Barnet,225000,34740,0.078,1.825,0.067,0.252,0.129,0.220,225.000
E01000168,Barnet 003B,E02000026,Barnet 003,E09000003,Barnet,407500,43090,0.047,2.863,0.039,0.391,0.198,0.247,407.500
E01000169,Barnet 003C,E02000026,Barnet 003,E09000003,Barnet,275000,39600,0.047,2.890,0.043,0.412,0.128,0.165,275.000
E01000170,Barnet 006A,E02000029,Barnet 006,E09000003,Barnet,249000,36870,0.065,3.360,0.050,0.315,0.149,0.244,249.000
E01000171,Barnet 006B,E02000029,Barnet 006,E09000003,Barnet,200000,36200,0.077,3.933,0.041,0.395,0.070,0.281,200.000
E01000172,Barnet 003D,E02000026,Barnet 003,E09000003,Barnet,352498,40750,0.052,1.995,0.042,0.414,0.153,0.184,352.498
E01000173,Barnet 006C,E02000029,Barnet 006,E09000003,Barnet,372500,40240,0.047,2.163,0.040,0.362,0.122,0.222,372.500
E01000174,Barnet 006D,E02000029,Barnet 006,E09000003,Barnet,270000,36110,0.091,3.286,0.057,0.315,0.126,0.283,270.000
E01000175,Barnet 006E,E02000029,Barnet 006,E09000003,Barnet,348500,40940,0.067,2.856,0.039,0.408,0.151,0.216,348.500
E01000176,Barnet 027A,E02000050,Barnet 027,E09000003,Barnet,321000,34160,0.078,1.999,0.073,0.311,0.155,0.368,321.000
E01000177,Barnet 029A,E02000052,Barnet 029,E09000003,Barnet,340000,42630,0.035,2.149,0.023,0.587,0.114,0.208,340.000
E01000178,Barnet 027B,E02000050,Barnet 027,E09000003,Barnet,509000,41350,0.035,2.955,0.046,0.508,0.146,0.212,509.000
E01000179,Barnet 029B,E02000052,Barnet 029,E09000003,Barnet,315000,42100,0.040,2.000,0.027,0.598,0.082,0.234,315.000
E01000180,Barnet 029C,E02000052,Barnet 029,E09000003,Barnet,332500,38810,0.042,2.789,0.047,0.471,0.158,0.295,332.500
E01000181,Barnet 029D,E02000052,Barnet 029,E09000003,Barnet,685000,45890,0.050,3.983,0.033,0.603,0.110,0.189,685.000
E01000182,Barnet 029E,E02000052,Barnet 029,E09000003,Barnet,514000,43220,0.040,4.365,0.041,0.613,0.138,0.189,514.000
